Name,Brand Name,Year of Manufacture,Distance Traveled,Fuel Type,Owner Type,Price
Hyundai Xcent S 1.2,Hyundai,2017,"25,539 km",Petrol,1st owner,₹4.24L
Hyundai Elite i20 ASTA 1.2,Hyundai,2017,"63,318 km",Petrol,2nd owner,₹6.11L
Maruti Grand Vitara DELTA SMART HYBRID,Maruti,2017,"28,842 km",Petrol,1st owner,₹12.33L
Tata Tiago XZA PETROL,Tata,2017,"41,772 km",Petrol,2nd owner,₹4.85L
Maruti Ertiga VXI AT SHVS,Maruti,2017,"35,378 km",Petrol,1st owner,₹10.84L
Volkswagen Ameo HIGHLINE1.5L,Volkswagen,2017,"1,08,064 km",Diesel,1st owner,₹5.76L
Honda City 1.5L I-VTEC SV,Honda,2017,"70,115 km",Petrol,1st owner,₹5.57L
Hyundai Verna SX 1.5 VTVT,Hyundai,2017,"50,413 km",Petrol,1st owner,₹10.10L
Maruti Baleno DELTA PETROL 1.2,Maruti,2017,"55,511 km",Petrol,2nd owner,₹4.91L
Mahindra XUV500 W7,Mahindra,2017,"79,470 km",Diesel,1st owner,₹10.97L
Ford Ecosport TITANIUM 1.5L DIESEL,Ford,2017,"92,848 km",Diesel,1st owner,₹6.46L
Maruti Vitara Brezza ZDI,Maruti,2017,"76,173 km",Diesel,1st owner,₹7.51L
Mahindra XUV700 AX 5 D MT 5 STR,Mahindra,2017,"29,358 km",Diesel,1st owner,₹18.40L
Maruti Alto 800 LXI,Maruti,2017,"43,780 km",Petrol,1st owner,₹2.33L
Maruti Swift ZXI,Maruti,2017,"77,053 km",Petrol,1st owner,₹5.26L
KIA SELTOS HTK PLUS 1.5,KIA,2017,"34,663 km",Petrol,1st owner,₹11.47L
Honda WR-V 1.2L I-VTEC VX MT,Honda,2017,"29,923 km",Petrol,1st owner,₹7.61L
Renault Kwid CLIMBER 1.0 (O),Renault,2017,"7,391 km",Petrol,1st owner,₹4.47L
Honda Amaze 1.2L I-VTEC VX,Honda,2017,"37,615 km",Petrol,1st owner,₹6.89L
Maruti Alto 800 LXI,Maruti,2017,"49,551 km",Petrol,2nd owner,₹2.19L
Maruti Baleno DELTA PETROL 1.2,Maruti,2017,"74,173 km",Petrol,1st owner,₹6.12L
Tata NEXON XZA PLUS PETROL,Tata,2017,"32,729 km",Petrol,1st owner,₹9.16L
Maruti Celerio VXI (O),Maruti,2017,"37,192 km",Petrol,2nd owner,₹4.08L
Hyundai Creta SX (O) 1.6 PETROL,Hyundai,2017,"83,716 km",Petrol,1st owner,₹10.93L
Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,Hyundai,2017,"88,880 km",Petrol,2nd owner,₹5.38L
Tata NEXON XZ PLUS PETROL,Tata,2017,"75,042 km",Petrol,1st owner,₹8.34L
Hyundai Elite i20 ASTA 1.4 CRDI (O),Hyundai,2017,"99,422 km",Diesel,1st owner,₹6.02L
Hyundai NEW SANTRO ERA EXECUTIVE,Hyundai,2017,"52,881 km",Petrol,1st owner,₹4.28L
Maruti Baleno ZETA CVT PETROL 1.2,Maruti,2017,"62,129 km",Petrol,1st owner,₹6.42L
Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,Hyundai,2017,"53,407 km",Petrol,1st owner,₹5.92L
Hyundai VENUE SX 1.0 (O) TURBO IMT,Hyundai,2017,"47,544 km",Petrol,1st owner,₹9.54L
Honda WR-V 1.5L I-DTEC VX MT,Honda,2017,"97,807 km",Diesel,1st owner,₹7.14L
Hyundai Elite i20 SPORTZ 1.2,Hyundai,2017,"89,807 km",Petrol,1st owner,₹5.61L
Renault Kwid CLIMBER AMT 1.0,Renault,2017,"25,787 km",Petrol,1st owner,₹5.75L
Honda City 1.5L I-VTE V CVT,Honda,2017,"52,274 km",Petrol,1st owner,₹8.68L
Volkswagen TAIGUN GT PLUS 1.5 TSI DSG,Volkswagen,2017,"46,791 km",Petrol,1st owner,₹16.86L
KIA SELTOS GTX PLUS DCT 1.4 PETROL,KIA,2017,"73,142 km",Petrol,1st owner,₹12.71L
Maruti Baleno ZETA PETROL 1.2,Maruti,2017,"46,568 km",Petrol,1st owner,₹7.31L
Maruti Celerio ZXI,Maruti,2017,"10,006 km",Petrol,1st owner,₹5.88L
Maruti S PRESSO VXI+,Maruti,2017,"45,232 km",Petrol,1st owner,₹4.36L
Tata TIGOR XT PETROL,Tata,2017,"40,471 km",Petrol,1st owner,₹4.82L
MG HECTOR SHARP 1.5 PETROL CVT,MG,2017,"53,405 km",Petrol,1st owner,₹14.92L
KIA SELTOS HTK PLUS 1.5,KIA,2017,"67,934 km",Petrol,2nd owner,₹9.81L
Maruti Celerio ZXI PLUS AGS,Maruti,2017,"3,760 km",Petrol,2nd owner,₹6.50L
Skoda Rapid MONTE CARLO TSI,Skoda,2017,"57,801 km",Petrol,1st owner,₹8.11L
Renault Kwid CLIMBER AMT 1.0,Renault,2017,"9,601 km",Petrol,1st owner,₹5.75L
Maruti Alto K10 VXI PLUS AMT,Maruti,2017,"15,262 km",Petrol,1st owner,₹5.65L
Hyundai NEW SANTRO SPORTZ AMT,Hyundai,2017,"18,628 km",Petrol,1st owner,₹5.74L
Maruti IGNIS ZETA 1.2,Maruti,2017,"52,488 km",Petrol,1st owner,₹4.98L
Maruti IGNIS ALPHA 1.2,Maruti,2017,"35,090 km",Petrol,1st owner,₹5.33L
Maruti Swift VDI,Maruti,2017,"72,273 km",Diesel,2nd owner,₹6.10L
Tata ALTROZ XZ PETROL,Tata,2017,"43,222 km",Petrol,1st owner,₹6.92L
Maruti Alto 800 LXI,Maruti,2017,"58,622 km",Petrol,1st owner,₹2.52L
Nissan MAGNITE XL TURBO,Nissan,2017,"33,387 km",Petrol,1st owner,₹6.59L
Tata Tiago XE PETROL,Tata,2017,"57,810 km",Petrol,1st owner,₹4.75L
Hyundai i20 Active 1.2 SX,Hyundai,2017,"38,799 km",Petrol,1st owner,₹5.65L
Maruti XL6 ZETA MT,Maruti,2017,"53,293 km",Petrol,1st owner,₹9.80L
Maruti Swift ZXI PLUS AMT,Maruti,2017,"90,696 km",Petrol,1st owner,₹6.12L
Maruti Swift VDI,Maruti,2017,"62,234 km",Diesel,2nd owner,₹3.56L
KIA SELTOS HTK 1.5 PETROL,KIA,2017,"4,607 km",Petrol,1st owner,₹12.37L
Hyundai Verna 1.6 CRDI SX + AT,Hyundai,2017,"68,080 km",Diesel,2nd owner,₹9.76L
Honda City 1.5L I-VTE V CVT,Honda,2017,"50,893 km",Petrol,1st owner,₹8.45L
Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,Hyundai,2017,"77,381 km",Petrol,1st owner,₹4.18L
Volkswagen Ameo TRENDLINE 1.0L,Volkswagen,2017,"1,16,854 km",Petrol,2nd owner,₹4.98L
Maruti Alto K10 VXI,Maruti,2017,"81,585 km",Petrol,2nd owner,₹1.85L
Mahindra BOLERO NEO N 10 (O),Mahindra,2017,"64,550 km",Diesel,1st owner,₹10.00L
Maruti Swift ZXI AMT,Maruti,2017,"1,06,419 km",Petrol,2nd owner,₹5.36L
Hyundai Elite i20 ASTA 1.2 (O),Hyundai,2017,"71,208 km",Petrol,1st owner,₹6.74L
Hyundai Verna 1.6 VTVT SX,Hyundai,2017,"61,985 km",Petrol,1st owner,₹8.14L
Maruti Dzire VXI,Maruti,2017,"45,407 km",Petrol,1st owner,₹6.90L
Jeep Compass LIMITED 2.0 DIESEL,Jeep,2017,"1,22,168 km",Diesel,2nd owner,₹10.84L
Honda Brio S(O) MT,Honda,2017,"90,872 km",Petrol,1st owner,₹3.40L
Maruti Alto K10 VXI,Maruti,2017,"34,213 km",Petrol,1st owner,₹1.84L
Maruti Vitara Brezza ZXI PLUS AT DUAL TONE SHVS,Maruti,2017,"68,282 km",Petrol,1st owner,₹10.07L
Honda Civic 1.8L I-VTEC ZX CVT,Honda,2017,"51,426 km",Petrol,1st owner,₹14.75L
Hyundai Creta SX 1.6 PETROL,Hyundai,2017,"35,188 km",Petrol,1st owner,₹9.68L
Maruti Swift ZDI,Maruti,2017,"1,02,255 km",Diesel,1st owner,₹4.43L
Tata NEXON XZ PLUS PETROL,Tata,2017,"44,067 km",Petrol,1st owner,₹7.91L
Maruti BREZZA ZXI SMART HYBRID,Maruti,2017,"22,737 km",Petrol,1st owner,₹11.46L
Maruti Celerio VXI CNG,Maruti,2017,"48,731 km",CNG,1st owner,₹6.37L
Honda Amaze 1.2L I-VTEC S,Honda,2017,"88,464 km",Petrol,1st owner,₹5.38L
Hyundai i20 Active 1.2 S,Hyundai,2017,"36,643 km",Petrol,1st owner,₹6.77L
Skoda Rapid STYLE 1.6 MPI AT,Skoda,2017,"55,595 km",Petrol,1st owner,₹7.32L
Honda WR-V 1.2 i-VTEC S MT,Honda,2017,"59,777 km",Petrol,1st owner,₹6.27L
Hyundai Elite i20 ASTA 1.2 (O),Hyundai,2017,"32,661 km",Petrol,1st owner,₹7.46L
Honda City 1.5L I-VTEC SV CVT,Honda,2017,"31,972 km",Petrol,1st owner,₹6.42L
Maruti Swift VXI,Maruti,2017,"69,042 km",Petrol,2nd owner,₹5.09L
Tata ALTROZ XZA PLUS DARK EDTION,Tata,2017,"28,466 km",Petrol,1st owner,₹8.83L
Skoda Rapid ACTIVE 1.0 TSI,Skoda,2017,"41,244 km",Petrol,2nd owner,₹6.54L
Honda City 1.5L I-VTEC ZX CVT,Honda,2017,"29,835 km",Petrol,1st owner,₹12.04L
Maruti Ritz VXI,Maruti,2017,"42,582 km",Petrol,1st owner,₹2.88L
Honda Amaze 1.2L I-VTEC S,Honda,2017,"62,540 km",Petrol,2nd owner,₹3.38L
Tata ALTROZ XZ PETROL,Tata,2017,"44,602 km",Petrol,1st owner,₹6.75L
Renault Kwid CLIMBER 1.0 AMT (O),Renault,2017,"9,819 km",Petrol,1st owner,₹4.39L
Mahindra Thar LX P 4WD AT CONVERTIBLE,Mahindra,2017,"32,709 km",Petrol,2nd owner,₹12.45L
Maruti Dzire VDI AMT,Maruti,2017,"77,742 km",Diesel,1st owner,₹6.43L
Nissan MAGNITE XV PREMIUM TURBO CVT,Nissan,2017,"13,138 km",Petrol,1st owner,₹8.78L
Honda City 1.5L I-VTEC ZX,Honda,2017,"59,379 km",Petrol,1st owner,₹8.29L
Tata Tiago XZ PETROL,Tata,2017,"63,153 km",Petrol,1st owner,₹4.65L
Tata Tiago XT PETROL,Tata,2017,"95,660 km",Petrol,1st owner,₹4.56L
Hyundai Elite i20 SPORTZ 1.2,Hyundai,2017,"91,444 km",Petrol,2nd owner,₹5.62L
Renault Kwid CLIMBER 1.0 AMT,Renault,2017,"87,072 km",Petrol,1st owner,₹3.62L
Datsun Redi Go T (O),Datsun,2017,"1,08,870 km",Petrol,2nd owner,₹2.49L
Hyundai i10 MAGNA 1.1,Hyundai,2017,"67,644 km",Petrol,3rd owner,₹2.96L
Maruti Swift Dzire VXI (O),Maruti,2017,"34,781 km",Petrol,1st owner,₹4.94L
Maruti Ciaz SIGMA 1.5 SHVS MT PETROL,Maruti,2017,"29,010 km",Petrol,1st owner,₹6.96L
Renault TRIBER RXT AMT,Renault,2017,"29,617 km",Petrol,1st owner,₹6.88L
Hyundai Verna FLUIDIC 1.6 CRDI S 4S,Hyundai,2017,"1,00,902 km",Diesel,1st owner,₹5.75L
Hyundai Creta SX (O) 1.4 TURBO DCT,Hyundai,2017,"46,110 km",Petrol,1st owner,₹16.03L
Honda City 1.5L I-VTEC V MT,Honda,2017,"56,249 km",Petrol,2nd owner,₹6.62L
Renault Kwid CLIMBER 1.0,Renault,2017,"51,288 km",Petrol,2nd owner,₹3.48L
Maruti Dzire VXI AMT,Maruti,2017,"41,666 km",Petrol,1st owner,₹6.56L
Honda City 1.5L I-DTEC V,Honda,2017,"76,508 km",Diesel,1st owner,₹7.91L
Maruti Dzire VDI AMT,Maruti,2017,"95,453 km",Diesel,1st owner,₹6.40L
Maruti Wagon R 1.0 LXI,Maruti,2017,"61,391 km",Petrol,2nd owner,₹2.95L
Hyundai i20 SPORTZ 1.2,Hyundai,2017,"85,725 km",Petrol,2nd owner,₹3.11L
Hyundai i20 SPORTZ 1.4 CRDI,Hyundai,2017,"1,11,819 km",Diesel,2nd owner,₹3.58L
Skoda KUSHAQ STYLE 1.0L TSI MT,Skoda,2017,"36,691 km",Petrol,1st owner,₹12.64L
Hyundai i10 SPORTZ 1.2,Hyundai,2017,"89,916 km",Petrol,1st owner,₹2.53L
Ford Ecosport TREND+ 1.5L DIESEL,Ford,2017,"97,106 km",Diesel,1st owner,₹5.95L
Tata NEXON XZA PLUS PETROL,Tata,2017,"63,677 km",Petrol,2nd owner,₹8.77L
Nissan Terrano XL O (D),Nissan,2017,"96,432 km",Diesel,1st owner,₹7.15L
Maruti BREZZA ZXI SMART HYBRID,Maruti,2017,"23,690 km",Petrol,1st owner,₹10.91L
Hyundai VENUE S 1.0 TURBO IMT,Hyundai,2017,"52,639 km",Petrol,1st owner,₹8.24L
Hyundai i10 MAGNA 1.2,Hyundai,2017,"91,664 km",Petrol,2nd owner,₹2.43L
Honda Brio S MT,Honda,2017,"55,189 km",Petrol,2nd owner,₹4.00L
Ford FREESTYLE TREND 1.2 PETROL,Ford,2017,"60,679 km",Petrol,1st owner,₹5.53L
Maruti Ritz ZDI,Maruti,2017,"82,552 km",Diesel,1st owner,₹3.75L
Hyundai NEW SANTRO ERA EXECUTIVE,Hyundai,2017,"17,789 km",Petrol,1st owner,₹4.75L
Honda Civic 1.8L I-VTEC ZX CVT,Honda,2017,"87,192 km",Petrol,2nd owner,₹16.26L
Mahindra Thar LX P 4WD AT CONVERTIBLE,Mahindra,2017,"24,982 km",Petrol,1st owner,₹13.31L
Renault Kwid RXL,Renault,2017,"45,901 km",Petrol,1st owner,₹3.80L
Mahindra KUV 100 NXT K8 P 6 STR DUAL TONE,Mahindra,2017,"44,303 km",Petrol,2nd owner,₹5.80L
Hyundai Eon MAGNA +,Hyundai,2017,"49,315 km",Petrol,2nd owner,₹3.17L
Hyundai i10 SPORTZ 1.1,Hyundai,2017,"58,416 km",Petrol,2nd owner,₹3.99L
Maruti Alto 800 LXI,Maruti,2017,"47,179 km",Petrol,1st owner,₹2.93L
Maruti Swift VXI,Maruti,2017,"71,115 km",Petrol,3rd owner,₹3.31L
Ford Ecosport TITANIUM 1.5L PETROL,Ford,2017,"57,215 km",Petrol,2nd owner,₹7.13L
Skoda Rapid STYLE 1.5 TDI AT,Skoda,2017,"1,07,669 km",Diesel,2nd owner,₹8.06L
Honda City 1.5L I-VTEC SV,Honda,2017,"65,051 km",Petrol,3rd owner,₹5.14L
Mahindra XUV300 W8 (O) 1.5 DIESEL,Mahindra,2017,"38,401 km",Diesel,1st owner,₹11.43L
Hyundai Elite i20 ASTA (O) CVT,Hyundai,2017,"31,248 km",Petrol,1st owner,₹7.81L
Maruti Dzire VXI AMT,Maruti,2017,"68,760 km",Petrol,1st owner,₹5.99L
Volkswagen Vento HIGHLINE 1.0L TSI AT,Volkswagen,2017,"50,711 km",Petrol,2nd owner,₹9.39L
Maruti Swift ZXI AMT,Maruti,2017,"76,836 km",Petrol,1st owner,₹6.37L
MG HECTOR SHARP 1.5 DCT PETROL,MG,2017,"55,007 km",Petrol,2nd owner,₹14.87L
Maruti Swift Dzire ZDI,Maruti,2017,"98,752 km",Diesel,1st owner,₹5.27L
Honda City 1.5L I-VTEC V MT,Honda,2017,"98,048 km",Petrol,1st owner,₹5.15L
Maruti Baleno ZETA PETROL 1.2,Maruti,2017,"65,323 km",Petrol,1st owner,₹6.95L
Maruti Dzire VXI AMT,Maruti,2017,"41,774 km",Petrol,1st owner,₹6.81L
Maruti Baleno ALPHA PETROL 1.2,Maruti,2017,"24,499 km",Petrol,1st owner,₹6.98L
KIA SELTOS HTX 1.5 DIESEL,KIA,2017,"55,645 km",Diesel,1st owner,₹13.93L
Hyundai Eon ERA +,Hyundai,2017,"59,689 km",Petrol,1st owner,₹2.42L
Honda City 1.5L I-VTE V CVT,Honda,2017,"91,659 km",Petrol,2nd owner,₹6.56L
Maruti Ciaz ZETA DIESEL 1.3,Maruti,2017,"1,01,069 km",Diesel,2nd owner,₹6.92L
Tata TIGOR XE PETROL,Tata,2017,"47,778 km",Petrol,1st owner,₹5.77L
Maruti BREZZA ZXI SMART HYBRID,Maruti,2017,"66,111 km",Petrol,1st owner,₹11.09L
Maruti Wagon R Stingray VXI,Maruti,2017,"76,934 km",Petrol,2nd owner,₹3.33L
Maruti XL6 ZETA AT,Maruti,2017,"41,145 km",Petrol,1st owner,₹11.93L
Hyundai Xcent S 1.2,Hyundai,2017,"35,155 km",Petrol,2nd owner,₹4.05L
Maruti Celerio X ZXI AMT,Maruti,2017,"68,971 km",Petrol,2nd owner,₹4.49L
Mahindra Thar LX D 4WD AT CONVERTIBLE,Mahindra,2017,"24,914 km",Diesel,2nd owner,₹13.89L
Maruti Baleno ALPHA CVT PETROL 1.2,Maruti,2017,"43,363 km",Petrol,1st owner,₹6.70L
Maruti Swift ZXI,Maruti,2017,"48,194 km",Petrol,1st owner,₹4.68L
Honda Amaze 1.2L I-VTEC VX CVT,Honda,2017,"21,464 km",Petrol,1st owner,₹8.82L
Hyundai Verna 1.6 VTVT SX,Hyundai,2017,"86,015 km",Petrol,1st owner,₹6.68L
Maruti Wagon R 1.0 VXI+ (O) MT,Maruti,2017,"92,836 km",Petrol,1st owner,₹3.85L
KIA SELTOS HTX PLUS 1.5 DIESEL,KIA,2017,"71,170 km",Diesel,2nd owner,₹12.70L
Maruti Wagon R 1.0 VXI,Maruti,2017,"92,102 km",Petrol,1st owner,₹3.86L
Tata NEXON XM PLUS SUNROOF PETROL,Tata,2017,"10,718 km",Petrol,1st owner,₹9.98L
Hyundai NEW I20 Asta 1.0 GDI Turbo IMT,Hyundai,2017,"27,958 km",Petrol,2nd owner,₹8.00L
Honda BR-V 1.5L I-VTEC E,Honda,2017,"1,23,133 km",Petrol,1st owner,₹6.12L
Maruti Swift Dzire VXI,Maruti,2017,"62,067 km",Petrol,1st owner,₹4.34L
Honda City 1.5L I-VTEC SV,Honda,2017,"98,941 km",Petrol,2nd owner,₹4.76L
