Name,Brand Name,Year of Manufacture,Distance Traveled,Fuel Type,Owner Type,Price
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2017,"1,01,404 km",Petrol,2nd owner,₹4.12L
Maruti S PRESSO VXI+,Maruti,2017,"46,355 km",Petrol,1st owner,₹4.36L
Maruti Wagon R 1.0 VXI AMT,Maruti,2017,"82,834 km",Petrol,1st owner,₹3.72L
Maruti Wagon R 1.0 VXI,Maruti,2017,"76,210 km",Petrol,1st owner,₹4.10L
Maruti Alto K10 VXI,Maruti,2017,"1,02,545 km",Petrol,1st owner,₹3.13L
Maruti New Wagon-R ZXI 1.2,Maruti,2017,"22,594 km",Petrol,1st owner,₹5.70L
Hyundai Grand i10 SPORTZ AT 1.2 KAPPA VTVT,Hyundai,2017,"86,050 km",Petrol,2nd owner,₹4.10L
Maruti Alto 800 LXI,Maruti,2017,"63,989 km",Petrol,2nd owner,₹2.78L
Maruti New Wagon-R VXI (O) 1.2 AMT,Maruti,2017,"26,074 km",Petrol,1st owner,₹5.68L
Maruti New Wagon-R ZXI 1.2,Maruti,2017,"52,823 km",Petrol,1st owner,₹5.15L
Honda Jazz 1.2L I-VTEC SV,Honda,2017,"91,922 km",Petrol,3rd owner,₹5.16L
Tata ALTROZ XZ PETROL,Tata,2017,"35,548 km",Petrol,1st owner,₹7.29L
Hyundai NEW SANTRO ASTA MT,Hyundai,2017,"42,064 km",Petrol,1st owner,₹5.27L
Hyundai Grand i10 ASTA 1.1 CRDI,Hyundai,2017,"1,01,450 km",Diesel,2nd owner,₹4.15L
Honda Brio S MT,Honda,2017,"82,612 km",Petrol,3rd owner,₹3.13L
Maruti New Wagon-R VXI 1.0 AMT,Maruti,2017,"9,301 km",Petrol,1st owner,₹5.96L
Renault Kwid CLIMBER 1.0 AMT (O),Renault,2017,"10,835 km",Petrol,1st owner,₹5.00L
Maruti New Wagon-R VXI 1.0,Maruti,2017,"40,215 km",Petrol,1st owner,₹5.27L
Maruti Ciaz ALPHA AT 1.5 SHVS PETROL,Maruti,2017,"57,002 km",Petrol,1st owner,₹9.61L
Maruti New Wagon-R VXI 1.2,Maruti,2017,"49,347 km",Petrol,1st owner,₹4.99L
Maruti Wagon R 1.0 VXI,Maruti,2017,"69,455 km",Petrol,1st owner,₹3.31L
Maruti New Wagon-R VXI 1.2,Maruti,2017,"48,833 km",Petrol,1st owner,₹5.05L
Maruti Wagon R 1.0 VXI,Maruti,2017,"83,098 km",Petrol,2nd owner,₹3.24L
Hyundai GRAND I10 NIOS ASTA U2 1.2 CRDI,Hyundai,2017,"84,977 km",Diesel,2nd owner,₹6.85L
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,Hyundai,2017,"77,723 km",Petrol,1st owner,₹4.59L
Hyundai NEW SANTRO SPORTZ AMT,Hyundai,2017,"15,729 km",Petrol,1st owner,₹5.74L
Maruti Wagon R 1.0 VXI,Maruti,2017,"76,186 km",Petrol,1st owner,₹3.26L
Hyundai NEW SANTRO ASTA AMT,Hyundai,2017,"48,844 km",Petrol,1st owner,₹5.99L
Maruti Celerio ZXI (O),Maruti,2017,"76,079 km",Petrol,1st owner,₹4.47L
Maruti Celerio ZXI,Maruti,2017,"99,910 km",Petrol,2nd owner,₹4.50L
Maruti Alto LXI O,Maruti,2017,"26,385 km",Petrol,1st owner,₹3.97L
Maruti Baleno ZETA CVT PETROL 1.2,Maruti,2017,"86,242 km",Petrol,1st owner,₹7.18L
Maruti Alto VXI PLUS,Maruti,2017,"29,652 km",Petrol,1st owner,₹4.47L
Maruti Alto K10 VXI AMT,Maruti,2017,"17,627 km",Petrol,2nd owner,₹3.28L
Maruti Swift VXI,Maruti,2017,"78,023 km",Petrol,1st owner,₹5.46L
Hyundai GRAND I10 NIOS MAGNA 1.2 KAPPA VTVT,Hyundai,2017,"10,298 km",Petrol,1st owner,₹5.54L
Hyundai Creta SX (O) 1.6 PETROL,Hyundai,2017,"98,097 km",Petrol,1st owner,₹10.74L
KIA SONET HTX ANNIVERSARY EDITION 1.0 IMT,KIA,2017,"21,993 km",Petrol,1st owner,₹10.52L
Toyota Innova 2.5 GX 8 STR,Toyota,2017,"82,593 km",Diesel,1st owner,₹11.50L
Hyundai Elite i20 MAGNA PLUS 1.2,Hyundai,2017,"44,820 km",Petrol,1st owner,₹5.93L
Ford Ecosport TITANIUM 1.5L PETROL AT,Ford,2017,"79,181 km",Petrol,1st owner,₹7.59L
Honda Jazz 1.2L I-VTEC V AT,Honda,2017,"66,797 km",Petrol,1st owner,₹5.51L
Datsun Go Plus T,Datsun,2017,"12,049 km",Petrol,1st owner,₹4.13L
Datsun Redi Go S,Datsun,2017,"83,097 km",Petrol,1st owner,₹2.16L
Maruti Baleno ALPHA PETROL 1.2,Maruti,2017,"31,283 km",Petrol,1st owner,₹8.58L
Hyundai Eon ERA +,Hyundai,2017,"67,729 km",Petrol,2nd owner,₹2.13L
Maruti BREZZA ZXI SMART HYBRID,Maruti,2017,"18,693 km",Petrol,1st owner,₹11.46L
Hyundai VENUE SX PLUS 1.0 TURBO DCT,Hyundai,2017,"35,185 km",Petrol,2nd owner,₹9.14L
Hyundai Creta SX (O) 1.6 PETROL,Hyundai,2017,"53,893 km",Petrol,1st owner,₹11.60L
KIA SELTOS GTX PLUS 1.5 DIESEL AT,KIA,2017,"31,317 km",Diesel,1st owner,₹17.64L
Ford Ecosport TITANIUM 1.5L PETROL AT,Ford,2017,"69,082 km",Petrol,2nd owner,₹6.12L
Honda WR-V 1.5L I-DTEC VX MT,Honda,2017,"88,190 km",Diesel,1st owner,₹7.08L
Maruti Wagon R 1.0 LXI,Maruti,2017,"72,470 km",Petrol,1st owner,₹2.70L
Hyundai Elite i20 SPORTZ 1.2,Hyundai,2017,"32,645 km",Petrol,2nd owner,₹5.73L
Hyundai Creta SX PLUS AT 1.6 PETROL,Hyundai,2017,"75,759 km",Petrol,2nd owner,₹10.00L
Maruti Wagon R 1.0 VXI,Maruti,2017,"29,956 km",Petrol,1st owner,₹3.75L
Maruti Alto K10 VXI PLUS AMT,Maruti,2017,"8,023 km",Petrol,1st owner,₹5.65L
Maruti Alto VXI,Maruti,2017,"19,886 km",Petrol,1st owner,₹4.24L
Mahindra XUV500 W9,Mahindra,2017,"59,716 km",Diesel,1st owner,₹14.66L
Tata Tiago XT PETROL,Tata,2017,"10,788 km",Petrol,1st owner,₹6.61L
Volkswagen Polo HIGHLINE 1.0L,Volkswagen,2017,"70,445 km",Petrol,1st owner,₹7.08L
Renault Kwid CLIMBER 1.0 (O),Renault,2017,"29,495 km",Petrol,2nd owner,₹4.12L
Tata Tiago XM PETROL,Tata,2017,"57,439 km",Petrol,1st owner,₹4.27L
Hyundai Creta SX (O) 1.4 TURBO DCT,Hyundai,2017,"48,344 km",Petrol,2nd owner,₹15.54L
Mahindra Thar LX PETROL HT 4WD AT,Mahindra,2017,"26,217 km",Petrol,2nd owner,₹15.27L
Tata TIGOR XZ PLUS PETROL,Tata,2017,"50,947 km",Petrol,1st owner,₹6.98L
Toyota URBAN CRUISER PREMIUM GRADE MT,Toyota,2017,"8,351 km",Petrol,1st owner,₹10.04L
Tata NEXON XZ PLUS PETROL DUAL TONE,Tata,2017,"22,648 km",Petrol,1st owner,₹8.99L
Hyundai Creta SX IVT 1.5 PETROL,Hyundai,2017,"48,096 km",Petrol,2nd owner,₹12.87L
Maruti Swift ZXI PLUS AMT,Maruti,2017,"46,843 km",Petrol,1st owner,₹7.35L
Honda Amaze 1.5L I-DTEC S,Honda,2017,"42,581 km",Diesel,1st owner,₹4.90L
Mahindra XUV700 AX 7 P MT 7 STR,Mahindra,2017,"18,132 km",Petrol,1st owner,₹19.34L
Maruti Swift VXI,Maruti,2017,"64,828 km",Petrol,1st owner,₹5.63L
Tata Tiago XT PETROL,Tata,2017,"76,411 km",Petrol,1st owner,₹5.08L
Tata Tiago XZ PLUS PETROL,Tata,2017,"64,589 km",Petrol,1st owner,₹5.32L
KIA SONET HTX 1.0 IMT,KIA,2017,"24,023 km",Petrol,2nd owner,₹9.22L
Mahindra XUV300 W8 (O) 1.2 PETROL,Mahindra,2017,"35,796 km",Petrol,1st owner,₹10.98L
Tata NEXON XM PETROL,Tata,2017,"53,746 km",Petrol,1st owner,₹8.01L
Hyundai Creta SX (O) IVT 1.5 PETROL,Hyundai,2017,"14,590 km",Petrol,1st owner,₹16.98L
Skoda Rapid AMBITION 1.5 TDI,Skoda,2017,"1,18,710 km",Diesel,1st owner,₹7.23L
KIA SELTOS GTX PLUS 1.5 DIESEL AT,KIA,2017,"20,863 km",Diesel,1st owner,₹18.21L
Maruti New Wagon-R LXI CNG (O) 1.0,Maruti,2017,"63,314 km",CNG,1st owner,₹5.61L
Tata NEXON XZA PLUS DIESEL,Tata,2017,"25,552 km",Diesel,1st owner,₹11.36L
Hyundai Elite i20 ASTA 1.2 DUAL TONE,Hyundai,2017,"87,637 km",Petrol,1st owner,₹6.51L
Datsun Redi Go S 1.0 AMT,Datsun,2017,"49,754 km",Petrol,1st owner,₹3.24L
Hyundai VENUE S(O) 1.2,Hyundai,2017,"21,510 km",Petrol,1st owner,₹9.44L
Hyundai Elite i20 ASTA 1.2,Hyundai,2017,"88,526 km",Petrol,1st owner,₹5.15L
Honda City 1.5L I-VTEC V MT,Honda,2017,"64,197 km",Petrol,1st owner,₹7.53L
Hyundai Elite i20 ASTA 1.2,Hyundai,2017,"29,076 km",Petrol,1st owner,₹6.42L
Tata Tiago XZA PETROL,Tata,2017,"20,206 km",Petrol,2nd owner,₹6.30L
Maruti Swift ZXI,Maruti,2017,"49,184 km",Petrol,1st owner,₹5.43L
Maruti Ertiga VXI AT SHVS,Maruti,2017,"29,143 km",Petrol,1st owner,₹10.80L
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,Hyundai,2017,"76,037 km",Petrol,2nd owner,₹4.25L
Volkswagen VIRTUS HIGHLINE TSI 1.0 MT,Volkswagen,2017,"19,255 km",Petrol,1st owner,₹13.06L
Renault TRIBER RXZ,Renault,2017,"61,773 km",Petrol,2nd owner,₹6.14L
Tata Tiago XZA PETROL,Tata,2017,"41,120 km",Petrol,2nd owner,₹4.75L
Mahindra XUV500 W7,Mahindra,2017,"47,691 km",Diesel,1st owner,₹11.27L
Hyundai Elite i20 ASTA 1.2 (O),Hyundai,2017,"72,656 km",Petrol,1st owner,₹7.59L
Maruti Vitara Brezza VXI,Maruti,2017,"32,994 km",Petrol,2nd owner,₹7.46L
Maruti Ertiga VXI AT SHVS,Maruti,2017,"25,009 km",Petrol,1st owner,₹8.93L
Volkswagen Ameo HIGHLINE1.2L,Volkswagen,2017,"61,167 km",Petrol,1st owner,₹5.14L
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2017,"1,07,168 km",Petrol,1st owner,₹3.82L
Maruti Vitara Brezza ZXI AT SHVS,Maruti,2017,"35,713 km",Petrol,2nd owner,₹9.38L
Maruti Ciaz ALPHA 1.5 SHVS PETROL,Maruti,2017,"66,803 km",Petrol,2nd owner,₹7.18L
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Hyundai,2017,"31,822 km",Petrol,1st owner,₹4.86L
Skoda SLAVIA STYLE 1.0L TSI AT,Skoda,2017,"30,564 km",Petrol,1st owner,₹15.03L
Maruti Swift ZDI,Maruti,2017,"73,764 km",Diesel,1st owner,₹4.57L
KIA SONET HTK PLUS 1.2,KIA,2017,"36,373 km",Petrol,1st owner,₹8.98L
Tata Tiago XZA PETROL,Tata,2017,"88,033 km",Petrol,1st owner,₹5.00L
Skoda Rapid STYLE 1.6 MPI,Skoda,2017,"94,695 km",Petrol,1st owner,₹8.49L
Maruti Baleno ZETA PETROL 1.2,Maruti,2017,"52,544 km",Petrol,1st owner,₹7.21L
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT DUAL TONE,Hyundai,2017,"94,673 km",Petrol,1st owner,₹4.97L
Ford Ecosport TITANIUM 1.5L DIESEL,Ford,2017,"98,881 km",Diesel,2nd owner,₹5.14L
Maruti Celerio VXI AMT (O),Maruti,2017,"74,635 km",Petrol,1st owner,₹4.06L
Honda Amaze 1.2L I-VTEC VX,Honda,2017,"24,093 km",Petrol,1st owner,₹7.56L
Renault Duster RXS CVT,Renault,2017,"11,183 km",Petrol,2nd owner,₹8.16L
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Hyundai,2017,"61,237 km",Petrol,2nd owner,₹4.48L
Maruti Ciaz DELTA 1.5 SHVS MT PETROL,Maruti,2017,"20,719 km",Petrol,1st owner,₹8.98L
KIA SELTOS HTK PLUS 1.5 DIESEL,KIA,2017,"48,799 km",Diesel,1st owner,₹12.70L
Hyundai i10 ASTA 1.2 AT SUNROOF,Hyundai,2017,"32,902 km",Petrol,1st owner,₹4.13L
Maruti Baleno DELTA DIESEL 1.3,Maruti,2017,"86,448 km",Diesel,1st owner,₹6.28L
Hyundai Verna FLUIDIC 1.6 CRDI SX,Hyundai,2017,"1,19,088 km",Diesel,3rd owner,₹3.98L
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2017,"71,416 km",Petrol,1st owner,₹4.79L
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2017,"38,086 km",Petrol,2nd owner,₹5.00L
Tata ALTROZ XZ PETROL,Tata,2017,"37,354 km",Petrol,1st owner,₹7.69L
Maruti S PRESSO VXI+,Maruti,2017,"16,759 km",Petrol,1st owner,₹4.48L
Hyundai Elite i20 SPORTZ 1.2,Hyundai,2017,"76,720 km",Petrol,1st owner,₹5.56L
Maruti Ertiga VXI AT SHVS,Maruti,2017,"37,985 km",Petrol,1st owner,₹9.33L
Maruti IGNIS DELTA 1.2 AMT,Maruti,2017,"90,874 km",Petrol,2nd owner,₹4.61L
Renault Kwid RXL,Renault,2017,"51,033 km",Petrol,1st owner,₹3.25L
Tata NEXON XZA PLUS (O) PETROL DARK EDITION,Tata,2017,"56,295 km",Petrol,1st owner,₹10.99L
Maruti Celerio VXI AMT,Maruti,2017,"35,486 km",Petrol,1st owner,₹3.68L
Mahindra Thar LX HT PETROL 4WD MT,Mahindra,2017,"23,965 km",Petrol,1st owner,₹12.83L
Maruti Swift Dzire VDI,Maruti,2017,"1,09,035 km",Diesel,2nd owner,₹4.23L
Maruti S PRESSO VXI,Maruti,2017,"50,645 km",Petrol,1st owner,₹3.73L
Maruti Swift VXI,Maruti,2017,"25,847 km",Petrol,2nd owner,₹5.61L
Toyota Glanza V,Toyota,2017,"31,957 km",Petrol,1st owner,₹7.28L
Hyundai Elite i20 ASTA 1.4 CRDI (O),Hyundai,2017,"1,15,435 km",Diesel,1st owner,₹7.25L
Maruti Baleno ZETA PETROL 1.2,Maruti,2017,"60,017 km",Petrol,1st owner,₹6.17L
Maruti Alto 800 LXI,Maruti,2017,"51,119 km",Petrol,1st owner,₹2.66L
Hyundai Elite i20 SPORTZ PLUS 1.2,Hyundai,2017,"31,381 km",Petrol,1st owner,₹6.63L
Maruti Swift ZXI PLUS AMT,Maruti,2017,"49,070 km",Petrol,1st owner,₹6.30L
Maruti BREZZA ZXI SMART HYBRID,Maruti,2017,"12,590 km",Petrol,1st owner,₹11.46L
Maruti Vitara Brezza ZDI,Maruti,2017,"1,11,621 km",Diesel,2nd owner,₹7.63L
Ford FREESTYLE TITANIUM PLUS 1.2 PETROL,Ford,2017,"56,901 km",Petrol,2nd owner,₹4.66L
Hyundai Creta SX 1.6 PETROL,Hyundai,2017,"19,394 km",Petrol,1st owner,₹10.52L
Honda Amaze 1.2L I-VTEC S,Honda,2017,"97,920 km",Petrol,2nd owner,₹3.58L
Honda Amaze 1.2L I-VTEC S CVT,Honda,2017,"55,918 km",Petrol,1st owner,₹6.23L
Maruti Ciaz DELTA 1.5 SHVS MT PETROL,Maruti,2017,"50,172 km",Petrol,1st owner,₹7.61L
KIA SONET GTX PLUS 1.5,KIA,2017,"59,656 km",Diesel,1st owner,₹11.39L
Maruti Baleno DELTA PETROL 1.2,Maruti,2017,"61,979 km",Petrol,1st owner,₹6.37L
Maruti Alto 800 VXI O,Maruti,2017,"92,881 km",Petrol,1st owner,₹2.64L
Honda Amaze 1.2L I-VTEC VX CVT,Honda,2017,"29,367 km",Petrol,2nd owner,₹7.40L
Honda Jazz 1.2L I-VTEC V,Honda,2017,"53,380 km",Petrol,2nd owner,₹5.39L
Maruti Ciaz ALPHA AT 1.5 SHVS PETROL,Maruti,2017,"50,723 km",Petrol,2nd owner,₹7.63L
Honda City 1.5L I-VTEC VX,Honda,2017,"15,890 km",Petrol,1st owner,₹8.93L
Maruti Swift ZXI,Maruti,2017,"62,166 km",Petrol,1st owner,₹6.79L
Honda Amaze 1.5L I-DTEC E,Honda,2017,"98,718 km",Diesel,1st owner,₹3.47L
Datsun Redi Go T(O) 1.0 AMT,Datsun,2017,"26,928 km",Petrol,1st owner,₹2.96L
Honda WR-V 1.2L I-VTEC VX MT,Honda,2017,"30,049 km",Petrol,2nd owner,₹7.34L
Renault Kwid RXT 0.8,Renault,2017,"64,156 km",Petrol,2nd owner,₹2.33L
Tata NEXON XM PETROL,Tata,2017,"1,06,102 km",Petrol,1st owner,₹5.92L
Maruti Baleno DELTA PETROL 1.2,Maruti,2017,"76,591 km",Petrol,1st owner,₹5.17L
Maruti Dzire VXI AMT,Maruti,2017,"9,056 km",Petrol,1st owner,₹6.75L
Maruti Swift VXI,Maruti,2017,"41,003 km",Petrol,1st owner,₹6.50L
Maruti Alto VXI,Maruti,2017,"76,984 km",Petrol,1st owner,₹3.40L
Hyundai VENUE SX 1.0 TURBO IMT,Hyundai,2017,"41,603 km",Petrol,1st owner,₹8.49L
Maruti S PRESSO VXI PLUS AMT,Maruti,2017,"29,955 km",Petrol,1st owner,₹4.37L
Tata TIAGO NRG XZ AMT,Tata,2017,"17,787 km",Petrol,2nd owner,₹6.46L
Maruti Baleno DELTA PETROL 1.2,Maruti,2017,"41,113 km",Petrol,1st owner,₹6.86L
Honda Amaze 1.2L I-VTEC VX,Honda,2017,"49,073 km",Petrol,1st owner,₹6.38L
Maruti Dzire ZDI PLUS,Maruti,2017,"90,164 km",Diesel,1st owner,₹7.18L
Maruti Ertiga ZXI+ SHVS,Maruti,2017,"41,284 km",Petrol,2nd owner,₹8.90L
Maruti Baleno DELTA PETROL 1.2,Maruti,2017,"45,551 km",Petrol,1st owner,₹5.58L
